"Motif","Offre","Opération","Type OT","Région","Unité Traitante","Date Etat OT"
"Manque équipement","ForFix 10 prp","Nouvelle Installation","Réservation RLA","SOUSSE","ULS KANTAOUI","16/06/25 17:10"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","27/02/25 16:25"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","26/05/25 13:35"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","05/02/25 11:00"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","19/02/25 10:08"
"Manque équipement","VDSL PRO Hybride GU TT 2022","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SOUSSE","24/04/25 08:49"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS SAHLOUL","26/05/25 13:35"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","15/08/25 10:22"
"Manque équipement","ADSL Offre de gros prepayee","Transfert","Réservation RLA","SOUSSE","ULS KANTAOUI","08/10/25 13:42"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","18/02/25 09:08"
"Manque équipement","ADSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","19/06/25 18:09"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","21/01/25 15:50"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","13/02/25 14:37"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","21/02/25 16:11"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","10/09/25 12:51"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","02/01/25 15:48"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","08/07/25 12:29"
"Manque équipement","ForFix 10 prp","Nouvelle Installation","Réservation RLA","SOUSSE","ULS SAHLOUL","13/10/25 13:39"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS MSAKEN","19/06/25 17:56"
"Manque équipement","ForFix 10 prp","Nouvelle Installation","Réservation RLA","SOUSSE","ULS SOUSSE","16/10/25 13:19"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","26/02/25 09:50"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/08/25 11:24"
"Manque équipement","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","31/10/25 11:28"
"Manque équipement","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","31/10/25 11:27"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","31/10/25 08:50"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","25/03/25 08:58"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","29/01/25 07:20"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","20/02/25 08:25"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","26/03/25 15:52"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","11/09/25 13:17"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","14/01/25 12:14"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","26/03/25 15:47"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/06/25 08:49"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","23/10/25 09:57"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","30/10/25 14:36"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","22/01/25 10:28"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","19/05/25 11:30"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","03/10/25 10:14"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","04/09/25 14:06"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","16/09/25 10:29"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","18/09/25 09:05"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","31/10/25 11:24"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","09/10/25 15:35"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","28/10/25 12:02"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/03/25 15:23"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/03/25 15:07"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","12/06/25 17:53"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","17/06/25 17:14"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","07/07/25 13:50"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","19/09/25 08:10"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","27/01/25 07:17"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","13/02/25 13:22"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","13/05/25 13:11"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","18/08/25 10:57"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","27/06/25 12:07"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","28/07/25 13:42"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","05/08/25 11:50"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","17/09/25 08:03"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","20/10/25 11:54"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","27/10/25 09:46"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","31/10/25 11:21"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","15/01/25 11:39"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","05/02/25 11:55"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","28/03/25 09:48"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","30/04/25 13:39"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","07/05/25 13:13"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/05/25 13:49"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","20/08/25 13:07"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","14/08/25 09:15"
"Manque équipement","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","22/08/25 07:51"
"Manque équipement","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","09/09/25 09:12"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","30/09/25 13:57"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","10/10/25 08:15"
"Manque équipement","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","30/10/25 11:06"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","27/06/25 08:14"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","05/08/25 13:34"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","05/08/25 13:32"
"Non Éligible","VDSL Offre de gros Postpayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","03/10/25 16:21"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","08/10/25 15:38"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","05/08/25 13:33"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","03/10/25 16:17"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","03/10/25 16:20"
"Non Éligible","VDSL Offre de gros Postpayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","09/10/25 09:00"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","05/08/25 13:30"
"Non Éligible","VDSL Offre de gros Postpayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","10/10/25 15:45"
"Non Éligible","VDSL Offre de gros prepayee","Migration d'offre","Config port  & Réservation","SOUSSE","UGS SOUSSE CENTRE","05/08/25 13:29"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","31/10/25 08:52"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","07/02/25 17:12"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","27/10/25 09:04"
"Non Éligible","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","31/10/25 10:36"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","30/10/25 15:17"
"Manque d'information","Post Paye Corporate","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/01/25 07:31"
"Manque d'information","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","10/07/25 11:11"
"Manque d'information","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/09/25 10:30"
"Manque d'information","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","30/10/25 14:28"
"Manque d'information","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","20/01/25 07:25"
"Non Éligible","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","25/02/25 13:01"
"Non Éligible","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","01/04/25 14:28"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","13/06/25 16:49"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","08/10/25 13:32"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","24/10/25 09:59"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","30/10/25 12:33"
"Non Éligible","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","23/04/25 15:08"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","18/07/25 07:38"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","22/09/25 15:51"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","24/09/25 11:17"
"Non Éligible","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","07/10/25 08:43"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","22/10/25 14:46"
"Non Éligible","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","28/01/25 07:31"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","10/09/25 15:06"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","17/09/25 13:57"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/10/25 14:44"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/10/25 14:44"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","11/06/25 15:56"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","04/08/25 11:36"
"Non Éligible","VDSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS SAHLOUL","12/09/25 08:06"
"Non Éligible","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/10/25 16:39"
"Non Éligible","FIX-Fixe postpaye pro","Transfert","Raccordement","SOUSSE","ULS SOUSSE","18/04/25 10:08"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","11/06/25 15:56"
"Non Éligible","ADSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS SAHLOUL","22/10/25 09:36"
"Non Éligible","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","30/01/25 10:45"
"Non Éligible","ForFix 10 Postpayee","Reprise Abonnement","Raccordement","SOUSSE","ULS KANTAOUI","04/02/25 16:19"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","24/02/25 11:46"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","02/06/25 18:19"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","09/06/25 18:12"
"Non Éligible","ADSL Offre de gros prepayee","Transfert","Raccordement","SOUSSE","ULS KANTAOUI","26/08/25 13:45"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","08/09/25 09:15"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","25/02/25 12:36"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","09/06/25 12:19"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","16/06/25 06:59"
"Non Éligible","Waffi ADSL 2020","Transfert","Raccordement","SOUSSE","ULS KANTAOUI","05/08/25 13:30"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","22/10/25 09:33"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","28/08/25 09:45"
"Non Éligible","Post Paye Corporate","Reprise Abonnement","Raccordement","SOUSSE","ULS KANTAOUI","15/09/25 08:53"
"Non Éligible","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","28/10/25 16:07"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","25/02/25 12:59"
"Non Éligible","VDSL Offre de gros Postpayee","Transfert","Raccordement","SOUSSE","ULS MSAKEN","04/09/25 11:47"
"Non Éligible","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SOUSSE","28/10/25 13:14"
"Non Éligible","Waffi ADSL 2020","Reprise Abonnement","Raccordement","SOUSSE","ULS KANTAOUI","28/10/25 10:16"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","05/05/25 15:20"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","20/05/25 08:35"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","11/06/25 08:41"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","25/06/25 16:31"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","09/07/25 08:32"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","04/08/25 13:18"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","19/08/25 08:37"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","18/09/25 15:50"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","20/08/25 14:17"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","10/09/25 14:55"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","29/08/25 11:37"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","17/09/25 16:48"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/10/25 10:53"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","06/10/25 12:58"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","13/10/25 13:01"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","20/10/25 08:30"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","20/10/25 16:52"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","23/10/25 13:25"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","27/10/25 08:40"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","28/10/25 11:41"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","28/10/25 13:40"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","30/10/25 14:29"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","23/01/25 07:33"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","21/01/25 09:30"
"Manque de couverture","ForFix 10 prp","Nouvelle Installation","Réservation RLA","SOUSSE","ULS KANTAOUI","23/01/25 14:45"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","30/01/25 17:39"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","12/03/25 13:54"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","13/03/25 13:50"
"Manque de couverture","ADSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS SAHLOUL","28/03/25 09:38"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS MSAKEN","23/04/25 09:21"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","22/04/25 12:34"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","05/05/25 15:20"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","26/05/25 12:34"
"Manque de couverture","Waffi ADSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","27/05/25 16:07"
"Manque de couverture","Waffi VDSL 2020","Nouvelle Installation","Réservation RLA avec Mesure Débit","SOUSSE","ULS KANTAOUI","30/06/25 10:49"
"Manque de couverture","VDSL Offre de gros prepayee","Nouvelle Installation","Raccordement","SOUSSE","ULS KANTAOUI","21/07/25 14:54"
